"code","tekst"
"2334","einde schuldsanering zonder uitdeling en zonder schone lei op [datum handeling]"
"2335","einde schuldsanering door afwijzing definitieve schuldsanering op [datum handeling]"
"3307","einde surseance op [datum handeling]"
"3308","einde surseance wegens verlopen van de termijn op [datum handeling]"
"3309","einde surseance door goedkeuring akkoord op [datum handeling]"
"1322","indiening verzoek tot rehabilitatie door mr. [naam, adres, woonplaats procureur]"
"2336","ontneming schone lei in schuldsanering op [datum handeling]"
"1324","einde faillissement door voldoen van alle schulden op [datum handeling]"
"1325","pro forma verificatievergadering"
"1326","pro forma verificatievergadering en akkoordbehandeling"
"2338","pro forma uitspraak schuldsanering en verificatievergadering"
"2339","pro forma uitspraak schuldsanering en verificatievergadering met akkoordbehandeling"
"2340","pro forma verificatievergadering"
"2341","pro forma verificatievergadering en akkoordbehandeling"
"2342","pro forma verificatievergadering, saneringsplan en akkoordbehandeling"
"2343","pro forma verificatievergadering en zitting wijziging saneringsplan"
"2344","pro forma verificatievergadering en zitting beeindiging"
"2345","pro forma verificatievergadering en zitting beeindiging en neerlegging slotuitdelingslijst"
"2346","pro forma verificatievergadering en zitting wijziging saneringsplan en beeindiging"
"2347","pro forma verificatievergadering en zitting wijziging saneringsplan en beeindiging en neerlegging slotuitdelingsl. vanaf"
"2348","rekening en verantwoording afgelegd"
"1328","vervanging rechtercommissaris"
"2349","vervanging rechtercommissaris"
"3311","vervanging rechtercommissaris"
"1330","aanvullende postblokkade"
"1331","adreswijziging"
"1332","tussentijdse intrekking postblokkade"
"2351","aanvullende postblokkade"
"2352","adreswijziging"
"2353","tussentijdse intrekking postblokkade"
"3313","Beeindiging door omzetting in faillissement op"
"1334","Faillissement overgedragen aan ander arrondissement op"
"1333","Faillissement omgezet in SSR op"
"2355","Schuldsanering overgedragen aan ander arrondissement op"
"2354","Tussentijdse beeindiging SSR met faillietverklaring op"
"3314","Surseance overgedragen aan ander arrondissement op"
